time,station_id,part_id,activity
2025-09-05T12:35:33.410721,station52,p1,PROCESS
2025-09-05T12:35:33.589871,station21,p8,PROCESS
2025-09-05T12:35:35.030719,station41,p5,PROCESS
2025-09-05T12:35:35.040567,splitter1,p7,TRANSFER
2025-09-05T12:35:35.851788,station41,p2,PASS
2025-09-05T12:35:35.932719,splitter2,p3,RETURN
2025-09-05T12:35:36.522381,station31,p7,LOAD
2025-09-05T12:35:37.105156,station51,p4,UNLOAD
2025-09-05T12:35:37.614153,station22,p6,UNLOAD
2025-09-05T12:35:38.864733,splitter2,p3,TRANSFER
2025-09-05T12:35:39.288671,station41,p2,TRANSFER
2025-09-05T12:35:39.768020,station31,p7,PROCESS
2025-09-05T12:35:40.785519,station41,p5,UNLOAD
2025-09-05T12:35:42.446904,station11,p9,UNLOAD
2025-09-05T12:35:42.678228,station52,p4,PASS
2025-09-05T12:35:43.454230,splitter1,p6,FORWARD
2025-09-05T12:35:43.552749,station22,p6,TRANSFER
2025-09-05T12:35:43.727431,station51,p4,TRANSFER
2025-09-05T12:35:44.006016,station21,p3,PASS
2025-09-05T12:35:44.544431,station51,p2,PASS
2025-09-05T12:35:46.094688,station52,p4,TRANSFER
2025-09-05T12:35:46.725527,station41,p5,TRANSFER
2025-09-05T12:35:46.773951,splitter1,p6,TRANSFER
2025-09-05T12:35:47.287709,station11,p9,TRANSFER
2025-09-05T12:35:47.324482,station21,p3,TRANSFER
2025-09-05T12:35:47.635200,splitter3,p4,RETURN
2025-09-05T12:35:47.945537,station51,p2,TRANSFER
2025-09-05T12:35:48.043987,station11,p10,LOAD
2025-09-05T12:35:48.774037,station51,p5,LOAD
2025-09-05T12:35:48.989429,station22,p3,PASS
2025-09-05T12:35:49.495592,station52,p2,PASS
2025-09-05T12:35:50.043545,station21,p9,PASS
2025-09-05T12:35:50.305946,station31,p7,UNLOAD
2025-09-05T12:35:50.620486,splitter3,p4,TRANSFER
2025-09-05T12:35:51.503689,station11,p10,PROCESS
2025-09-05T12:35:52.162746,station51,p5,PROCESS
2025-09-05T12:35:52.312615,station22,p3,TRANSFER
2025-09-05T12:35:52.904674,station52,p2,TRANSFER
2025-09-05T12:35:53.365922,station21,p9,TRANSFER
2025-09-05T12:35:53.747496,splitter1,p3,RETURN
2025-09-05T12:35:54.532496,splitter3,p2,RETURN
2025-09-05T12:35:55.067497,station52,p1,UNLOAD
2025-09-05T12:35:55.079200,station22,p9,LOAD
2025-09-05T12:35:56.684380,splitter1,p3,TRANSFER
2025-09-05T12:35:57.114280,station31,p7,TRANSFER
2025-09-05T12:35:57.528746,splitter3,p2,TRANSFER
2025-09-05T12:35:57.865052,station31,p6,LOAD
2025-09-05T12:35:58.366444,station22,p9,PROCESS
2025-09-05T12:35:58.700009,station41,p7,LOAD
2025-09-05T12:36:00.664397,station52,p1,TRANSFER
2025-09-05T12:36:01.130134,station31,p6,PROCESS
2025-09-05T12:36:01.138432,splitter3,p1,FORWARD
2025-09-05T12:36:02.108495,station41,p7,PROCESS
2025-09-05T12:36:03.073832,station11,p10,UNLOAD
2025-09-05T12:36:04.440022,splitter4,p4,RETURN
2025-09-05T12:36:04.573779,splitter3,p1,TRANSFER
2025-09-05T12:36:04.607869,station41,p7,UNLOAD
2025-09-05T12:36:06.305927,station61,p1,LOAD
2025-09-05T12:36:07.330713,splitter2,p3,RETURN
2025-09-05T12:36:07.422126,splitter4,p4,TRANSFER
2025-09-05T12:36:07.816714,station11,p10,TRANSFER
2025-09-05T12:36:08.553051,station11,p11,LOAD
2025-09-05T12:36:09.715506,station61,p1,PROCESS
2025-09-05T12:36:09.872492,station51,p7,PASS
2025-09-05T12:36:10.265590,splitter2,p3,TRANSFER
2025-09-05T12:36:10.342612,station41,p7,TRANSFER
2025-09-05T12:36:10.714394,station21,p10,PASS
2025-09-05T12:36:11.575584,splitter4,p2,RETURN
2025-09-05T12:36:11.648589,station31,p6,UNLOAD
2025-09-05T12:36:11.968720,station11,p11,PROCESS
2025-09-05T12:36:12.553440,station41,p4,LOAD
2025-09-05T12:36:13.290625,station51,p7,TRANSFER
2025-09-05T12:36:14.044319,station21,p10,TRANSFER
2025-09-05T12:36:14.561698,splitter4,p2,TRANSFER
2025-09-05T12:36:14.788378,station51,p5,UNLOAD
2025-09-05T12:36:14.820451,station52,p7,LOAD
2025-09-05T12:36:15.562084,station21,p8,UNLOAD
2025-09-05T12:36:15.707870,station22,p10,PASS
2025-09-05T12:36:16.110589,station41,p4,PROCESS
2025-09-05T12:36:18.157983,station31,p6,TRANSFER
2025-09-05T12:36:18.387478,station52,p7,PROCESS
2025-09-05T12:36:18.654925,station41,p4,UNLOAD
2025-09-05T12:36:19.017492,station22,p10,TRANSFER
